Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index,descriptor_count_used,Base_Resistance_Target
Boron Monophosphide,2.97,2000.0,0.85,350.0,3.0,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0,7,0.6122167937170182
Boron Monoxide,2.46,1450.0,1.0,0.2,5.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Boron Nitride,2.1,2973.0,0.8,30.0,1.0,,,Non,0.0,0.0,0.0,2973.0,0.0,0.0,7,0.6775363750442771
Boron Nitride (Cubic),3.48,,0.79,740.0,3.7,,,Non,0.0,0.0,0.0,2500.0,0.0,0.0,6,0.6454459049667363
Boron Nitride (Hexagonal),2.2,,0.8,60.0,1.0,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0,6,0.6650399170366477
Boron Nitride (Hot Pressed),1.9,2973.0,0.8,30.0,1.0,,,Non,0.0,0.0,0.0,2973.0,0.0,0.0,7,0.6775363750442771
Boron Powder (Amorphous),2.34,2076.0,1.02,27.0,5.0,,580.0,Non,0.0,0.0,0.0,2076.0,58.0,0.0,8,0.6277194835388732
Boron Silicide,2.55,2000.0,0.85,35.0,4.5,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0,7,0.6122167937170182
Boron Trioxide,1.81,450.0,1.2,0.15,15.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0,7,0.5081619622090517
Borosilicate Glass,2.23,1260.0,0.79,1.1,3.3,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5605236190920148
Brass (C36000),8.5,885.0,0.38,115.0,20.5,,,Non,0.0,0.0,0.0,885.0,0.0,0.0,7,0.5373644471806422
Brass (Cartridge 70/30),8.53,954.0,0.37,120.0,19.9,,,Non,0.0,0.0,0.0,954.0,0.0,0.0,7,0.5419965654864808
Brass (Yellow),8.47,930.0,0.37,116.0,20.3,,,Non,0.0,0.0,0.0,930.0,0.0,0.0,7,0.5403853939018414
Brick Veneer,1.9,1100.0,0.9,0.8,6.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Brominated Epoxy,1.25,,1.1,0.22,60.0,390.0,415.0,V-0,32.0,120.0,35.0,340.0,25.0,20.0,8,0.5946913384804743
Bromine,3.12,-7.0,0.45,0.12,,,,,,0.0,58.0,0.0,,,4,0.358662221668666
Bronze (Architectural),8.75,1000.0,0.38,55.0,18.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Bronze (C51000),8.86,950.0,0.38,71.0,17.8,,,Non,0.0,0.0,0.0,950.0,0.0,0.0,7,0.5417280368890409
Butane (Liquid),0.58,-138.0,2.35,0.14,,-60.0,287.0,HB,14.0,,0.0,-0.5,45.7,,7,0.29373001157514167
Butane (n),0.58,-138.0,2.35,0.14,-60.0,287.0,,,,0.0,,45.7,,,4,0.3939030221435065
Butyl Acetate,0.88,-74.0,1.95,0.15,22.0,421.0,,,,0.0,,30.5,,,4,0.43137372362054194
Butyl Rubber (IIR),0.92,,1.925,0.15,200.0,310.0,350.0,HB,17.0,325.0,5.0,280.0,43.0,225.0,8,0.4710858530303341
Butyl Rubber Sealant,1.25,,1.9,0.2,180.0,,350.0,HB,18.0,500.0,10.0,280.0,38.0,200.0,7,0.44245329087734453
Butyric Acid,0.96,-8.0,2.05,0.15,72.0,443.0,,,,5.0,,24.5,,,4,0.4394281013875133
C-129Y Niobium Alloy,8.85,2350.0,0.27,48.0,7.2,,,Non,0.0,0.0,0.0,2350.0,0.0,0.0,7,0.6357130459930105
CMSX-4,8.7,1330.0,0.42,12.5,12.1,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0,7,0.5672382536458327
CPVC Pipe,1.55,,1.05,0.14,65.0,,480.0,V-0,60.0,200.0,45.0,280.0,16.0,10.0,7,0.6303463273598082
Cadmium,8.65,321.0,0.23,96.0,30.0,,,Non,0.0,0.0,0.0,321.0,0.0,0.0,7,0.4995019149416145
Cadmium (Metal),8.65,321.0,0.23,97.0,30.0,,,Non,0.0,0.0,0.0,321.0,0.0,0.0,7,0.4995019149416145
Cadmium Bromide,5.19,568.0,0.25,1.0,32.0,,,Non,0.0,0.0,0.0,568.0,0.0,0.0,7,0.5160835558335292
Cadmium Chloride,4.05,568.0,0.35,1.2,30.0,,,Non,0.0,0.0,0.0,568.0,0.0,0.0,7,0.5160835558335292
Cadmium Iodide,5.67,387.0,0.2,0.8,38.0,,,Non,0.0,0.0,0.0,387.0,0.0,0.0,7,0.5039326367993731
Cadmium Oxide,8.15,1426.0,0.35,0.7,12.0,,,Non,0.0,0.0,0.0,1426.0,0.0,0.0,7,0.5736829399843906
Cadmium Selenide,5.81,1240.0,0.25,4.5,5.0,,,Non,0.0,0.0,0.0,1240.0,0.0,0.0,7,0.5611963602034347
Cadmium Silicide,7.25,800.0,0.35,10.0,14.5,,,Non,0.0,0.0,0.0,800.0,0.0,0.0,7,0.5316582144850441
Cadmium Telluride Crystal,5.85,1041.0,0.21,6.2,5.9,,,Non,0.0,0.0,0.0,1041.0,0.0,0.0,7,0.5478370624807989
Cadmium Tungstate (CWO) Crystal,7.9,1325.0,0.24,1.8,11.0,,,Non,0.0,0.0,0.0,1325.0,0.0,0.0,7,0.5669025928990328
Calcium (Metal),1.55,842.0,0.65,200.0,22.0,,,Non,0.0,0.0,0.0,1484.0,0.0,0.0,7,0.5560423746133915
Calcium Aluminate (CaAl2O4),2.98,1600.0,0.85,2.0,7.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0,7,0.5853639339730269
Calcium Aluminate (CaAl4O7),2.91,1762.0,0.85,2.2,6.5,,,Non,0.0,0.0,0.0,1762.0,0.0,0.0,7,0.5962393421693433
Calcium Alumino Silicate (Anorthite),2.73,1550.0,0.85,1.8,4.5,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0,7,0.582007326505028
Calcium Bromide,3.35,730.0,0.45,1.5,22.0,,,Non,0.0,0.0,0.0,730.0,0.0,0.0,7,0.5269589640298457
Calcium Carbide,2.22,2160.0,0.92,0.5,,,,Non,0.0,0.0,0.0,2160.0,0.0,0.0,7,0.6229579376146147
Calcium Carbonate (Aragonite),2.93,,0.8,2.2,10.0,,,Non,0.0,0.0,0.0,825.0,0.0,0.0,6,0.579805964532533
Calcium Carbonate (Calcite),2.71,,0.85,2.0,12.0,,,Non,0.0,0.0,0.0,825.0,0.0,0.0,6,0.579805964532533
Calcium Chloride,2.15,772.0,0.65,2.0,25.0,,,Non,0.0,0.0,0.0,772.0,0.0,0.0,7,0.5297785143029647
Calcium Fluoride,3.18,1418.0,0.85,9.7,18.8,,,Non,0.0,0.0,0.0,1418.0,0.0,0.0,7,0.5731458827895108
Calcium Fluoride Crystal,3.18,1418.0,0.85,9.7,18.8,,,Non,0.0,0.0,0.0,1418.0,0.0,0.0,7,0.5731458827895108
Calcium Hafnate (CaHfO3),5.75,2600.0,0.45,2.1,8.5,,,Non,0.0,0.0,0.0,2600.0,0.0,0.0,7,0.6524960833330052
Calcium Hexaboride (CaB6),2.45,2235.0,1.05,25.0,6.2,,,Non,0.0,0.0,0.0,2235.0,0.0,0.0,7,0.6279928488166131
Calcium Hydride,1.7,816.0,1.15,2.5,22.0,,,Non,0.0,0.0,0.0,816.0,0.0,0.0,7,0.5327323288748038
Calcium Iodide,3.95,784.0,0.35,1.2,30.0,,,Non,0.0,0.0,0.0,784.0,0.0,0.0,7,0.5305841000952844
Calcium Molybdate,4.28,1445.0,0.55,2.5,11.5,,,Non,0.0,0.0,0.0,1445.0,0.0,0.0,7,0.5749584508222301
Calcium Nitrate,2.5,561.0,0.95,0.71,25.0,,,Non,0.0,500.0,0.0,500.0,0.0,0.0,7,0.44791339645021117
Calcium Oxide,3.34,2572.0,0.75,15.0,12.5,,,Non,0.0,0.0,0.0,2572.0,0.0,0.0,7,0.6506163831509257
Calcium Oxide (Refractory),3.34,2572.0,0.75,15.0,12.5,,,Non,0.0,0.0,0.0,2572.0,0.0,0.0,7,0.6506163831509257
Calcium Phosphide,2.51,1600.0,0.8,0.4,,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0,7,0.5853639339730269
Calcium Silicate (Insulation),0.25,1000.0,0.95,0.06,5.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Calcium Silicate (Wollastonite),2.91,1540.0,0.9,2.5,9.4,,,Non,0.0,0.0,0.0,1540.0,0.0,0.0,7,0.5813360050114281
Calcium Silicate Board,0.9,1000.0,0.975,0.15,5.75,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Calcium Silicide,2.5,1030.0,0.85,15.0,12.0,,,Non,0.0,0.0,0.0,1030.0,0.0,0.0,7,0.5470986088378391
Calcium Silicide (CaSi2),2.5,1030.0,0.85,15.0,12.0,,,Non,0.0,0.0,0.0,1030.0,0.0,0.0,7,0.5470986088378391
Calcium Stannate (CaSnO3),5.45,1950.0,0.45,2.6,9.5,,,Non,0.0,0.0,0.0,1950.0,0.0,0.0,7,0.6088601862490192
Calcium Titanate (CaTiO3),4.04,1970.0,0.85,3.0,11.5,,,Non,0.0,0.0,0.0,1970.0,0.0,0.0,7,0.6102028292362187
Calcium Tungstate,6.06,1620.0,0.45,3.0,10.0,,,Non,0.0,0.0,0.0,1620.0,0.0,0.0,7,0.5867065769602264
Calcium Tungstate Crystal,6.06,1620.0,0.45,3.0,10.0,,,Non,0.0,0.0,0.0,1620.0,0.0,0.0,7,0.5867065769602264
Calcium Zirconate (CaZrO3),4.78,2350.0,0.65,2.5,9.5,,,Non,0.0,0.0,0.0,2350.0,0.0,0.0,7,0.6357130459930105
Californium Boride (CfB4),8.85,2000.0,0.2,8.0,14.5,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0,7,0.6122167937170182
Caprolactam,1.02,69.0,2.15,0.18,125.0,432.0,,,,15.0,270.0,30.5,,,5,0.49695454458745847
Carbon (Amorphous),1.45,,0.75,5.0,3.0,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0,6,0.6846339291065591
Carbon Aerogel,0.15,3500.0,0.7,0.02,2.0,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0,7,0.7129150177569856
Carbon Aerogel (Rigid),0.2,3500.0,0.7,0.025,2.0,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0,7,0.7129150177569856
Carbon Brick,1.6,3600.0,0.75,10.0,3.0,,,Non,0.0,0.0,0.0,3600.0,0.0,0.0,7,0.7196282326929834
Carbon Disulfide,1.26,-111.0,1.0,0.16,-30.0,90.0,,,,0.0,,13.5,,,4,0.3427170204835954
Carbon Felt,0.1,3600.0,0.71,0.05,1.5,,,Non,0.0,0.0,0.0,3600.0,0.0,0.0,7,0.7196282326929834
Carbon Fiber (High Modulus),1.875,3650.0,0.71,100.0,-0.25,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Carbon Fiber (High Strength),1.75,3650.0,0.71,10.0,1.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Carbon Fiber (Pan),1.75,3650.0,0.71,10.0,2.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Carbon Fiber (Pitch),2.15,3650.0,0.71,600.0,-1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Carbon Fiber (Standard Modulus),1.75,3650.0,0.71,15.0,1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Carbon Fiber Composite,1.6,,1.1,5.0,1.0,,,V-0,35.0,150.0,55.0,500.0,32.0,10.0,6,0.6100752371031893
Carbon Fiber Epoxy Composite,1.55,,1.0,5.0,1.0,,,V-0,45.0,10.0,60.0,400.0,28.0,5.0,6,0.6476553791715084
Carbon Fiber/Cyanate Ester,1.6,,1.1,3.0,1.0,560.0,590.0,V-0,32.0,10.0,48.0,450.0,28.0,10.0,8,0.6661018394161061
Carbon Foam (Reticulated),0.05,3600.0,0.71,0.5,1.5,,,Non,0.0,0.0,0.0,3600.0,0.0,0.0,7,0.7196282326929834
Carbon Monoxide,0.001,-205.0,1.05,,,605.0,,,,0.0,,10.1,,,4,0.47000563274158835
Carbon Steel 1018,7.87,1480.0,0.48,51.9,11.7,,,Non,0.0,0.0,0.0,1480.0,0.0,0.0,7,0.5773080760498294
Carbon Tetrachloride,1.59,-23.0,0.85,0.1,,,,,,0.0,76.0,0.0,,,4,0.3647542840659424
Carbon-Carbon (High Density),1.95,3650.0,0.71,150.0,0.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Carbon/Carbon Composite,1.85,3650.0,0.71,60.0,1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Carnauba Wax,0.99,84.0,2.2,0.22,,280.0,,HB,16.0,500.0,5.0,280.0,40.0,350.0,8,0.3706316041646415
Carp 20Cb-3,8.08,1385.0,0.5,12.3,14.8,,,Non,0.0,0.0,0.0,1385.0,0.0,0.0,7,0.5709305218606314
Cartridge Brass (70/30),8.53,915.0,0.38,121.0,19.9,,,Non,0.0,0.0,0.0,915.0,0.0,0.0,7,0.5393784116614416
Casein (Solid),1.35,,1.2,0.18,,,,HB,28.0,110.0,40.0,240.0,17.0,100.0,6,0.562006320331544
Casein Plastic,1.35,,1.5,0.2,60.0,,,HB,24.0,120.0,30.0,220.0,18.0,100.0,6,0.5503155014242508
Cast Al 319,2.79,516.0,0.96,109.0,21.0,,,Non,0.0,0.0,0.0,516.0,0.0,0.0,7,0.5125926840668102
Cast Al 355,2.71,546.0,0.96,146.0,22.0,,,Non,0.0,0.0,0.0,546.0,0.0,0.0,7,0.5146066485476096
Cast Al 356,2.68,557.0,0.96,151.0,21.5,,,Non,0.0,0.0,0.0,557.0,0.0,0.0,7,0.5153451021905694
Cast Al 413,2.66,574.0,0.96,121.0,20.0,,,Non,0.0,0.0,0.0,574.0,0.0,0.0,7,0.516486348729689
Cast Iron (Gray),7.175000000000001,1150.0,0.475,51.0,10.75,,,Non,0.0,0.0,0.0,1150.0,0.0,0.0,7,0.5551544667610365
Cast Steel,7.8,1450.0,0.5,45.0,12.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Castor Oil,0.96,,1.9,0.18,,230.0,448.0,HB,17.0,500.0,10.0,310.0,36.0,250.0,8,0.4529241924011474
Cellular Glass,0.135,730.0,0.84,0.04,9.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0,7,0.5175538382362882
Cellulose Acetate,1.3,230.0,1.475,0.21,105.0,290.0,410.0,HB,18.0,210.0,15.0,240.0,20.0,155.0,9,0.4686787919385722
Cellulose Butyrate,1.2,,1.5,0.2,120.0,,420.0,HB,18.0,350.0,12.0,220.0,22.0,180.0,7,0.4808831489842979
Cellulose Insulation,0.05,,1.6,0.04,,,,B-1,45.0,20.0,35.0,200.0,16.5,25.0,6,0.6263089952448663
Cellulose Propionate,1.21,190.0,1.525,0.215,120.0,285.0,405.0,HB,18.5,215.0,12.0,230.0,21.0,160.0,9,0.46441249678169083
Ceramic Blanket (1260C),0.1,1760.0,1.05,0.12,0.0,,,Non,0.0,0.0,0.0,1760.0,0.0,0.0,7,0.5961050778706234
Ceramic Blanket (1430C),0.13,1800.0,1.05,0.14,0.0,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0,7,0.5987903638450225
Ceramic Board (Rigid),0.3,1600.0,1.05,0.1,0.0,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0,7,0.5853639339730269
Ceramic Fiber (RCF),0.13,1760.0,1.05,0.15,0.0,,,Non,0.0,0.0,0.0,1760.0,0.0,0.0,7,0.5961050778706234
Ceramic Fiber Blanket,0.1,1760.0,1.05,0.06,,,,Non,0.0,0.0,0.0,1760.0,0.0,0.0,7,0.5961050778706234
Ceramic Matrix Composite (SiC/SiC),2.8,1450.0,0.8,25.0,4.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Ceramic Tile (Glazed),2.4,1600.0,0.85,1.2,6.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0,7,0.5853639339730269
Cerium (Pure),6.77,798.0,0.19,11.0,12.6,,150.0,HB,0.0,0.0,0.0,798.0,12.0,300.0,8,0.4105257742458122
Cerium Boride (CeB6),4.8,2190.0,0.58,40.0,7.2,,,Non,0.0,0.0,0.0,2190.0,0.0,0.0,7,0.624971902095414
Cerium Fluoride Crystal,6.16,1460.0,0.35,3.5,15.0,,,Non,0.0,0.0,0.0,1460.0,0.0,0.0,7,0.5759654330626299
Cerium Hexaboride (CeB6),4.8,2190.0,0.6,42.0,6.8,,,Non,0.0,0.0,0.0,2190.0,0.0,0.0,7,0.624971902095414
Cerium Hydride,5.43,1000.0,0.35,5.5,12.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Cerium Oxide,7.2,2400.0,0.4,10.0,11.5,,,Non,0.0,0.0,0.0,2400.0,0.0,0.0,7,0.6390696534610095
Cerium Silicide,5.85,1550.0,0.35,10.0,12.5,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0,7,0.582007326505028
Cerium(III) Carbonate,2.5,,0.45,1.2,18.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0,6,0.5651104554800993
Cerium(IV) Oxide,7.21,2400.0,0.35,12.0,11.5,,,Non,0.0,0.0,0.0,2400.0,0.0,0.0,7,0.6390696534610095
Cermet (TiC-Ni),6.0,1500.0,0.5,25.0,8.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0,7,0.5786507190370289
Cesium (Metal),1.87,28.0,0.24,36.0,97.0,,,Non,0.0,0.0,0.0,671.0,0.0,0.0,7,0.501430394769346
Cesium Bromide,4.44,636.0,0.2,1.0,45.0,,,Non,0.0,0.0,0.0,636.0,0.0,0.0,7,0.5206485419900077
Cesium Chloride,3.99,645.0,0.25,1.1,48.0,,,Non,0.0,0.0,0.0,645.0,0.0,0.0,7,0.5212527313342475
Cesium Fluoride,4.12,682.0,0.3,1.5,45.0,,,Non,0.0,0.0,0.0,682.0,0.0,0.0,7,0.5237366208605667
Cesium Fluoride Crystal,4.12,682.0,0.31,1.5,45.0,,,Non,0.0,0.0,0.0,682.0,0.0,0.0,7,0.5237366208605667
Cesium Iodide,4.51,626.0,0.2,0.9,50.0,,,Non,0.0,0.0,0.0,626.0,0.0,0.0,7,0.5199772204964079
Cesium Iodide (Na doped),4.51,621.0,0.2,1.1,50.0,,,Non,0.0,0.0,0.0,621.0,0.0,0.0,7,0.519641559749608
Cesium Iodide (Tl doped),4.51,621.0,0.2,1.1,50.0,,,Non,0.0,0.0,0.0,621.0,0.0,0.0,7,0.519641559749608
Cesium Iodide Crystal,4.51,621.0,0.2,1.1,50.0,,,Non,0.0,0.0,0.0,621.0,0.0,0.0,7,0.519641559749608
Charcoal Briquettes,0.8,,1.1,0.1,,,300.0,HB,26.0,150.0,80.0,450.0,28.0,120.0,7,0.5355261806163344
Chlorinated Polyethylene (CPE),1.1749999999999998,,1.725,0.2,165.0,345.0,395.0,V-1,25.0,230.0,20.0,280.0,27.0,62.5,8,0.5487283546305914
Chlorine,1.56,-101.0,0.48,0.1,,,,,,0.0,34.0,0.0,,,4,0.34376949450266464
Chloroform,1.48,-63.0,0.95,0.12,,,,,,0.0,61.0,0.0,,,4,0.3565469400591333
Chloroprene,0.96,-130.0,1.55,0.14,-20.0,410.0,,,,5.0,,25.5,,,4,0.42380285068022794
Chlorosulfonated Polyethylene,1.2,,1.8,0.22,170.0,340.0,390.0,V-1,26.0,150.0,30.0,280.0,28.0,80.0,8,0.555201354763553
Chlorotrifluoroethylene (CTFE),2.1,210.0,1.0,0.22,70.0,,,V-0,95.0,5.0,15.0,400.0,6.0,2.0,7,0.6357301341949062
Chlorotrifluoroethylene (PCTFE),2.13,213.0,0.9,0.2,70.0,500.0,515.0,V-0,95.0,5.0,0.0,480.0,6.0,5.0,9,0.6521551592345174
Chrome Boride (CrB2),5.22,2200.0,0.55,30.0,10.3,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0,7,0.6256432235890138
Chrome Carbide,6.68,1895.0,0.48,19.0,10.3,,,Non,0.0,0.0,0.0,1895.0,0.0,0.0,7,0.6051679180342203
Chrome Silicide,6.45,1770.0,0.45,20.0,10.5,,,Non,0.0,0.0,0.0,1770.0,0.0,0.0,7,0.5967763993642231
Chrome-Cobalt-Nickel,8.15,1350.0,0.45,12.5,12.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Chrome-Copper (C18200),8.89,1075.0,0.38,320.0,17.6,,,Non,0.0,0.0,0.0,1075.0,0.0,0.0,7,0.5501195555590381
Chrome-Moly Steel (4140),7.85,1425.0,0.47,42.0,12.2,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0,7,0.5736158078350305
Chromel (Alloy P),8.73,1425.0,0.45,19.0,12.8,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0,7,0.5736158078350305
Chromium,7.19,1907.0,0.45,94.0,4.9,,,Non,0.0,0.0,0.0,1907.0,0.0,0.0,7,0.6059735038265401
Chromium (Pure),7.19,1907.0,0.45,94.0,4.9,,,Non,0.0,0.0,0.0,1907.0,0.0,0.0,7,0.6059735038265401
Chromium Carbide (Cr3C2),6.68,1895.0,0.45,19.0,10.3,,,Non,0.0,0.0,0.0,1895.0,0.0,0.0,7,0.6051679180342203
Chromium Diboride,5.22,2200.0,0.55,30.0,10.3,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0,7,0.6256432235890138
Chromium Diboride (CrB2),5.2,2200.0,0.55,30.0,10.0,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0,7,0.6256432235890138
Chromium Metal (Electrolytic),7.19,1907.0,0.45,94.0,4.9,,,Non,0.0,0.0,0.0,1907.0,0.0,0.0,7,0.6059735038265401
Chromium Nitride,5.9,1770.0,0.45,12.0,2.3,,,Non,0.0,0.0,0.0,1770.0,0.0,0.0,7,0.5967763993642231
Chromium Oxide (Cr2O3),5.22,2435.0,0.68,12.0,7.5,,,Non,0.0,0.0,0.0,2435.0,0.0,0.0,7,0.6414192786886087
Chromium Silicide (Cr3Si),6.45,1770.0,0.45,20.0,10.5,,,Non,0.0,0.0,0.0,1770.0,0.0,0.0,7,0.5967763993642231
Chromium(III) Bromide,4.25,,0.35,1.2,18.0,,,Non,0.0,0.0,0.0,812.0,0.0,0.0,6,0.5792965202187152
Chromium(III) Chloride,2.87,1152.0,0.45,1.5,15.0,,,Non,0.0,0.0,0.0,1152.0,0.0,0.0,7,0.5552887310597565
Chromium(III) Iodide,5.15,,0.25,1.0,22.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0,6,0.5709886591010728
Clay Roof Tile,2.0,1050.0,0.95,0.8,7.0,,,Non,0.0,0.0,0.0,1050.0,0.0,0.0,7,0.5484412518250387
Coal Tar,1.2,,1.45,0.18,,95.0,580.0,HB,18.0,500.0,25.0,400.0,32.0,300.0,8,0.45183983364490216
Coal Tar Pitch,1.3,,1.35,0.2,180.0,120.0,590.0,HB,19.0,450.0,45.0,450.0,30.0,250.0,8,0.4817397059905907
Cob (Material),1.6,,1.2,0.4,6.5,,,Non,0.0,0.0,0.0,500.0,0.0,0.0,6,0.5670698566870905
Cobalt (L-605),9.13,1410.0,0.4,14.0,13.5,,,Non,0.0,0.0,0.0,1410.0,0.0,0.0,7,0.5726088255946309
Cobalt (Pure),8.9,1495.0,0.42,100.0,13.0,,,Non,0.0,0.0,0.0,1495.0,0.0,0.0,7,0.5783150582902291
Cobalt (Stellite 6B),8.38,1350.0,0.42,14.7,14.0,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Cobalt Alumino Silicate,5.1,1800.0,0.5,7.0,8.2,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0,7,0.5987903638450225
Cobalt Boride (CoB),7.32,1460.0,0.4,18.0,12.5,,,Non,0.0,0.0,0.0,1460.0,0.0,0.0,7,0.5759654330626299
Cobalt Chrome,8.3,1350.0,0.45,13.0,12.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Cobalt Chrome MP35N,8.43,1315.0,0.5,11.2,12.8,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0,7,0.566231271405433
Cobalt Diboride (CoB2),7.05,1300.0,0.52,15.0,13.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Cobalt Ferrite (CoFe2O4),5.29,1575.0,0.52,3.8,11.0,,,Non,0.0,0.0,0.0,1575.0,0.0,0.0,7,0.5836856302390273
Cobalt Oxide (CoO),6.44,1935.0,0.55,9.0,12.0,,,Non,0.0,0.0,0.0,1935.0,0.0,0.0,7,0.6078532040086195
Cobalt Silicide,4.95,1326.0,0.52,20.0,11.5,,,Non,0.0,0.0,0.0,1326.0,0.0,0.0,7,0.5669697250483927
Cobalt Silicide (CoSi2),4.95,1326.0,0.52,20.0,11.5,,,Non,0.0,0.0,0.0,1326.0,0.0,0.0,7,0.5669697250483927
Cobalt Stannate (CoSnO3),6.75,1700.0,0.45,2.8,11.5,,,Non,0.0,0.0,0.0,1700.0,0.0,0.0,7,0.5920771489090246
Cobalt Titanate (CoTiO3),5.05,1550.0,0.55,3.8,10.5,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0,7,0.582007326505028
Cobalt(II) Bromide,4.9,678.0,0.45,1.8,14.0,,,Non,0.0,0.0,0.0,678.0,0.0,0.0,7,0.5234680922631268
Cobalt(II) Carbonate,4.13,,0.45,1.0,20.0,,,Non,0.0,0.0,0.0,200.0,0.0,0.0,6,0.5553134494451436
Cobalt(II) Chloride,3.36,724.0,0.55,2.2,12.0,,,Non,0.0,0.0,0.0,724.0,0.0,0.0,7,0.5265561711336858
Cobalt(II) Iodide,5.68,515.0,0.35,1.5,16.0,,,Non,0.0,0.0,0.0,515.0,0.0,0.0,7,0.5125255519174503
Cobalt(II) Oxide,6.44,1933.0,0.55,9.5,12.5,,,Non,0.0,0.0,0.0,1933.0,0.0,0.0,7,0.6077189397098995
Cobalt-Chromium (F75),8.3,1385.0,0.45,14.8,14.5,,,Non,0.0,0.0,0.0,1385.0,0.0,0.0,7,0.5709305218606314
Coconut Oil,0.92,24.0,2.1,0.18,,285.0,,HB,16.0,700.0,2.0,270.0,40.0,400.0,8,0.33315849970904027
Coke (Petroleum),1.2,,0.85,10.0,,,,Non,0.0,0.0,95.0,600.0,32.0,0.0,6,0.5923886473603089
Common Red Brick,1.95,1100.0,0.88,0.7,5.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Compressed Earth Block (CEB),2.05,,0.95,1.0,9.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0,6,0.5709886591010728
Concrete (Heavyweight),3.2,,0.75,2.1,10.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Concrete (Lightweight),1.6,,0.95,0.5,9.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Concrete (Normal Weight),2.4,,0.88,1.4,11.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Constantan,8.9,1250.0,0.39,19.5,14.9,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0,7,0.5618676816970344
