Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index
Cadmium Telluride Crystal,5.85,1041.0,0.21,6.2,5.9,,,Non,0.0,0.0,0.0,1041.0,0.0,0.0
Cadmium Tungstate (CWO) Crystal,7.9,1325.0,0.24,1.8,11.0,,,Non,0.0,0.0,0.0,1325.0,0.0,0.0
Calcium (Metal),1.55,842.0,0.65,200.0,22.0,,,Non,0.0,0.0,0.0,1484.0,0.0,0.0
Calcium Aluminate (CaAl2O4),2.98,1600.0,0.85,2.0,7.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
Calcium Aluminate (CaAl4O7),2.91,1762.0,0.85,2.2,6.5,,,Non,0.0,0.0,0.0,1762.0,0.0,0.0
Calcium Alumino Silicate (Anorthite),2.73,1550.0,0.85,1.8,4.5,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0
Calcium Bromide,3.35,730.0,0.45,1.5,22.0,,,Non,0.0,0.0,0.0,730.0,0.0,0.0
Calcium Carbide,2.22,2160.0,0.92,0.5,,,,Non,0.0,0.0,0.0,2160.0,0.0,0.0
Calcium Carbonate (Aragonite),2.93,,0.8,2.2,10.0,,,Non,0.0,0.0,0.0,825.0,0.0,0.0
Calcium Carbonate (Calcite),2.71,,0.85,2.0,12.0,,,Non,0.0,0.0,0.0,825.0,0.0,0.0
Calcium Chloride,2.15,772.0,0.65,2.0,25.0,,,Non,0.0,0.0,0.0,772.0,0.0,0.0
Calcium Fluoride,3.18,1418.0,0.85,9.7,18.8,,,Non,0.0,0.0,0.0,1418.0,0.0,0.0
Calcium Fluoride Crystal,3.18,1418.0,0.85,9.7,18.8,,,Non,0.0,0.0,0.0,1418.0,0.0,0.0
Calcium Hafnate (CaHfO3),5.75,2600.0,0.45,2.1,8.5,,,Non,0.0,0.0,0.0,2600.0,0.0,0.0
Calcium Hexaboride (CaB6),2.45,2235.0,1.05,25.0,6.2,,,Non,0.0,0.0,0.0,2235.0,0.0,0.0
Calcium Hydride,1.7,816.0,1.15,2.5,22.0,,,Non,0.0,0.0,0.0,816.0,0.0,0.0
Calcium Iodide,3.95,784.0,0.35,1.2,30.0,,,Non,0.0,0.0,0.0,784.0,0.0,0.0
Calcium Molybdate,4.28,1445.0,0.55,2.5,11.5,,,Non,0.0,0.0,0.0,1445.0,0.0,0.0
Calcium Nitrate,2.5,561.0,0.95,0.71,25.0,,,Non,0.0,500.0,0.0,500.0,0.0,0.0
Calcium Oxide,3.34,2572.0,0.75,15.0,12.5,,,Non,0.0,0.0,0.0,2572.0,0.0,0.0
Calcium Oxide (Refractory),3.34,2572.0,0.75,15.0,12.5,,,Non,0.0,0.0,0.0,2572.0,0.0,0.0
Calcium Phosphide,2.51,1600.0,0.8,0.4,,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
Calcium Silicate (Insulation),0.25,1000.0,0.95,0.06,5.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Calcium Silicate (Wollastonite),2.91,1540.0,0.9,2.5,9.4,,,Non,0.0,0.0,0.0,1540.0,0.0,0.0
Calcium Silicate Board,0.9,1000.0,0.975,0.15,5.75,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Calcium Silicide,2.5,1030.0,0.85,15.0,12.0,,,Non,0.0,0.0,0.0,1030.0,0.0,0.0
Calcium Silicide (CaSi2),2.5,1030.0,0.85,15.0,12.0,,,Non,0.0,0.0,0.0,1030.0,0.0,0.0
Calcium Stannate (CaSnO3),5.45,1950.0,0.45,2.6,9.5,,,Non,0.0,0.0,0.0,1950.0,0.0,0.0
Calcium Titanate (CaTiO3),4.04,1970.0,0.85,3.0,11.5,,,Non,0.0,0.0,0.0,1970.0,0.0,0.0
Calcium Tungstate,6.06,1620.0,0.45,3.0,10.0,,,Non,0.0,0.0,0.0,1620.0,0.0,0.0
Calcium Tungstate Crystal,6.06,1620.0,0.45,3.0,10.0,,,Non,0.0,0.0,0.0,1620.0,0.0,0.0
Calcium Zirconate (CaZrO3),4.78,2350.0,0.65,2.5,9.5,,,Non,0.0,0.0,0.0,2350.0,0.0,0.0
Californium Boride (CfB4),8.85,2000.0,0.2,8.0,14.5,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0
Caprolactam,1.02,69.0,2.15,0.18,125.0,432.0,,,,15.0,270.0,30.5,,
Carbon (Amorphous),1.45,,0.75,5.0,3.0,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0
Carbon Aerogel,0.15,3500.0,0.7,0.02,2.0,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0
Carbon Aerogel (Rigid),0.2,3500.0,0.7,0.025,2.0,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0
Carbon Brick,1.6,3600.0,0.75,10.0,3.0,,,Non,0.0,0.0,0.0,3600.0,0.0,0.0
Carbon Dioxide (Solid),1.56,-78.0,0.85,0.2,,,,,,0.0,,0.0,,
Carbon Disulfide,1.26,-111.0,1.0,0.16,-30.0,90.0,,,,0.0,,13.5,,
Carbon Felt,0.1,3600.0,0.71,0.05,1.5,,,Non,0.0,0.0,0.0,3600.0,0.0,0.0
Carbon Fiber (High Modulus),1.875,3650.0,0.71,100.0,-0.25,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Carbon Fiber (High Strength),1.75,3650.0,0.71,10.0,1.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Carbon Fiber (Pan),1.75,3650.0,0.71,10.0,2.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Carbon Fiber (Pitch),2.15,3650.0,0.71,600.0,-1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Carbon Fiber (Standard Modulus),1.75,3650.0,0.71,15.0,1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Carbon Fiber Composite,1.6,,1.1,5.0,1.0,,,V-0,35.0,150.0,55.0,500.0,32.0,10.0
Carbon Fiber Epoxy Composite,1.55,,1.0,5.0,1.0,,,V-0,45.0,10.0,60.0,400.0,28.0,5.0
Carbon Fiber/Cyanate Ester,1.6,,1.1,3.0,1.0,560.0,590.0,V-0,32.0,10.0,48.0,450.0,28.0,10.0
Carbon Foam (Reticulated),0.05,3600.0,0.71,0.5,1.5,,,Non,0.0,0.0,0.0,3600.0,0.0,0.0
Carbon Monoxide,0.001,-205.0,1.05,,,605.0,,,,0.0,,10.1,,
Carbon Steel 1018,7.87,1480.0,0.48,51.9,11.7,,,Non,0.0,0.0,0.0,1480.0,0.0,0.0
Carbon Tetrachloride,1.59,-23.0,0.85,0.1,,,,,,0.0,76.0,0.0,,
Carbon-Carbon (High Density),1.95,3650.0,0.71,150.0,0.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Carbon/Carbon Composite,1.85,3650.0,0.71,60.0,1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Carnauba Wax,0.99,84.0,2.2,0.22,,280.0,,HB,16.0,500.0,5.0,280.0,40.0,350.0
Carp 20Cb-3,8.08,1385.0,0.5,12.3,14.8,,,Non,0.0,0.0,0.0,1385.0,0.0,0.0
Cartridge Brass (70/30),8.53,915.0,0.38,121.0,19.9,,,Non,0.0,0.0,0.0,915.0,0.0,0.0
Casein (Solid),1.35,,1.2,0.18,,,,HB,28.0,110.0,40.0,240.0,17.0,100.0
Casein Plastic,1.35,,1.5,0.2,60.0,,,HB,24.0,120.0,30.0,220.0,18.0,100.0
Cast Al 319,2.79,516.0,0.96,109.0,21.0,,,Non,0.0,0.0,0.0,516.0,0.0,0.0
Cast Al 355,2.71,546.0,0.96,146.0,22.0,,,Non,0.0,0.0,0.0,546.0,0.0,0.0
Cast Al 356,2.68,557.0,0.96,151.0,21.5,,,Non,0.0,0.0,0.0,557.0,0.0,0.0
Cast Al 413,2.66,574.0,0.96,121.0,20.0,,,Non,0.0,0.0,0.0,574.0,0.0,0.0
Cast Iron (Gray),7.175000000000001,1150.0,0.475,51.0,10.75,,,Non,0.0,0.0,0.0,1150.0,0.0,0.0
Cast Steel,7.8,1450.0,0.5,45.0,12.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Castor Oil,0.96,,1.9,0.18,,230.0,448.0,HB,17.0,500.0,10.0,310.0,36.0,250.0
Cellular Glass,0.135,730.0,0.84,0.04,9.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0
Cellulose Acetate,1.3,230.0,1.475,0.21000000000000002,105.0,290.0,410.0,HB,18.0,210.0,15.0,240.0,20.0,155.0
Cellulose Butyrate,1.2,,1.5,0.2,120.0,,420.0,HB,18.0,350.0,12.0,220.0,22.0,180.0
Cellulose Insulation,0.05,,1.6,0.04,,,,B-1,45.0,20.0,35.0,200.0,16.5,25.0
Cellulose Propionate,1.21,190.0,1.525,0.215,120.0,285.0,405.0,HB,18.5,215.0,12.0,230.0,21.0,160.0
Ceramic Blanket (1260C),0.1,1760.0,1.05,0.12,0.0,,,Non,0.0,0.0,0.0,1760.0,0.0,0.0
Ceramic Blanket (1430C),0.13,1800.0,1.05,0.14,0.0,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0
Ceramic Board (Rigid),0.3,1600.0,1.05,0.1,0.0,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
Ceramic Fiber (RCF),0.13,1760.0,1.05,0.15,0.0,,,Non,0.0,0.0,0.0,1760.0,0.0,0.0
Ceramic Fiber Blanket,0.1,1760.0,1.05,0.06,,,,Non,0.0,0.0,0.0,1760.0,0.0,0.0
Ceramic Matrix Composite (SiC/SiC),2.8,1450.0,0.8,25.0,4.0,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Ceramic Tile (Glazed),2.4,1600.0,0.85,1.2,6.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
Cerium (Pure),6.77,798.0,0.19,11.0,12.6,,150.0,HB,0.0,0.0,0.0,798.0,12.0,300.0
Cerium Boride (CeB6),4.8,2190.0,0.58,40.0,7.2,,,Non,0.0,0.0,0.0,2190.0,0.0,0.0
Cerium Fluoride Crystal,6.16,1460.0,0.35,3.5,15.0,,,Non,0.0,0.0,0.0,1460.0,0.0,0.0
Cerium Hexaboride (CeB6),4.8,2190.0,0.6,42.0,6.8,,,Non,0.0,0.0,0.0,2190.0,0.0,0.0
Cerium Hydride,5.43,1000.0,0.35,5.5,12.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Cerium Oxide,7.2,2400.0,0.4,10.0,11.5,,,Non,0.0,0.0,0.0,2400.0,0.0,0.0
Cerium Silicide,5.85,1550.0,0.35,10.0,12.5,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0
Cerium(III) Carbonate,2.5,,0.45,1.2,18.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0
Cerium(IV) Oxide,7.21,2400.0,0.35,12.0,11.5,,,Non,0.0,0.0,0.0,2400.0,0.0,0.0
Cermet (TiC-Ni),6.0,1500.0,0.5,25.0,8.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0
Cesium (Metal),1.87,28.0,0.24,36.0,97.0,,,Non,0.0,0.0,0.0,671.0,0.0,0.0
Cesium Bromide,4.44,636.0,0.2,1.0,45.0,,,Non,0.0,0.0,0.0,636.0,0.0,0.0
Cesium Chloride,3.99,645.0,0.25,1.1,48.0,,,Non,0.0,0.0,0.0,645.0,0.0,0.0
Cesium Fluoride,4.12,682.0,0.3,1.5,45.0,,,Non,0.0,0.0,0.0,682.0,0.0,0.0
Cesium Fluoride Crystal,4.12,682.0,0.31,1.5,45.0,,,Non,0.0,0.0,0.0,682.0,0.0,0.0
Cesium Iodide,4.51,626.0,0.2,0.9,50.0,,,Non,0.0,0.0,0.0,626.0,0.0,0.0
Cesium Iodide (Na doped),4.51,621.0,0.2,1.1,50.0,,,Non,0.0,0.0,0.0,621.0,0.0,0.0
Cesium Iodide (Tl doped),4.51,621.0,0.2,1.1,50.0,,,Non,0.0,0.0,0.0,621.0,0.0,0.0
Cesium Iodide Crystal,4.51,621.0,0.2,1.1,50.0,,,Non,0.0,0.0,0.0,621.0,0.0,0.0
Charcoal Briquettes,0.8,,1.1,0.1,,,300.0,HB,26.0,150.0,80.0,450.0,28.0,120.0
Chlorinated Polyethylene (CPE),1.1749999999999998,,1.725,0.2,165.0,345.0,395.0,V-1,25.0,230.0,20.0,280.0,27.0,62.5
Chlorine,1.56,-101.0,0.48,0.1,,,,,,0.0,34.0,0.0,,
Chloroform,1.48,-63.0,0.95,0.12,,,,,,0.0,61.0,0.0,,
Chloroprene,0.96,-130.0,1.55,0.14,-20.0,410.0,,,,5.0,,25.5,,
Chlorosulfonated Polyethylene,1.2,,1.8,0.22,170.0,340.0,390.0,V-1,26.0,150.0,30.0,280.0,28.0,80.0
Chlorotrifluoroethylene (CTFE),2.1,210.0,1.0,0.22,70.0,,,V-0,95.0,5.0,15.0,400.0,6.0,2.0
Chlorotrifluoroethylene (PCTFE),2.13,213.0,0.9,0.2,70.0,500.0,515.0,V-0,95.0,5.0,0.0,480.0,6.0,5.0
Chrome Boride (CrB2),5.22,2200.0,0.55,30.0,10.3,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0
Chrome Carbide,6.68,1895.0,0.48,19.0,10.3,,,Non,0.0,0.0,0.0,1895.0,0.0,0.0
Chrome Silicide,6.45,1770.0,0.45,20.0,10.5,,,Non,0.0,0.0,0.0,1770.0,0.0,0.0
Chrome-Cobalt-Nickel,8.15,1350.0,0.45,12.5,12.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Chrome-Copper (C18200),8.89,1075.0,0.38,320.0,17.6,,,Non,0.0,0.0,0.0,1075.0,0.0,0.0
Chrome-Moly Steel (4140),7.85,1425.0,0.47,42.0,12.2,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0
Chromel (Alloy P),8.73,1425.0,0.45,19.0,12.8,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0
Chromium,7.19,1907.0,0.45,94.0,4.9,,,Non,0.0,0.0,0.0,1907.0,0.0,0.0
Chromium (Pure),7.19,1907.0,0.45,94.0,4.9,,,Non,0.0,0.0,0.0,1907.0,0.0,0.0
Chromium Carbide (Cr3C2),6.68,1895.0,0.45,19.0,10.3,,,Non,0.0,0.0,0.0,1895.0,0.0,0.0
Chromium Diboride,5.22,2200.0,0.55,30.0,10.3,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0
Chromium Diboride (CrB2),5.2,2200.0,0.55,30.0,10.0,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0
Chromium Metal (Electrolytic),7.19,1907.0,0.45,94.0,4.9,,,Non,0.0,0.0,0.0,1907.0,0.0,0.0
Chromium Nitride,5.9,1770.0,0.45,12.0,2.3,,,Non,0.0,0.0,0.0,1770.0,0.0,0.0
Chromium Oxide (Cr2O3),5.22,2435.0,0.68,12.0,7.5,,,Non,0.0,0.0,0.0,2435.0,0.0,0.0
Chromium Silicide (Cr3Si),6.45,1770.0,0.45,20.0,10.5,,,Non,0.0,0.0,0.0,1770.0,0.0,0.0
Chromium(III) Bromide,4.25,,0.35,1.2,18.0,,,Non,0.0,0.0,0.0,812.0,0.0,0.0
Chromium(III) Chloride,2.87,1152.0,0.45,1.5,15.0,,,Non,0.0,0.0,0.0,1152.0,0.0,0.0
Chromium(III) Iodide,5.15,,0.25,1.0,22.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0
Clay Roof Tile,2.0,1050.0,0.95,0.8,7.0,,,Non,0.0,0.0,0.0,1050.0,0.0,0.0
Coal Tar,1.2,,1.45,0.18,,95.0,580.0,HB,18.0,500.0,25.0,400.0,32.0,300.0
Coal Tar Pitch,1.3,,1.35,0.2,180.0,120.0,590.0,HB,19.0,450.0,45.0,450.0,30.0,250.0
Cob (Material),1.6,,1.2,0.4,6.5,,,Non,0.0,0.0,0.0,500.0,0.0,0.0
Cobalt (L-605),9.13,1410.0,0.4,14.0,13.5,,,Non,0.0,0.0,0.0,1410.0,0.0,0.0
Cobalt (Pure),8.9,1495.0,0.42,100.0,13.0,,,Non,0.0,0.0,0.0,1495.0,0.0,0.0
Cobalt (Stellite 6B),8.38,1350.0,0.42,14.7,14.0,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Cobalt Alumino Silicate,5.1,1800.0,0.5,7.0,8.2,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0
Cobalt Boride (CoB),7.32,1460.0,0.4,18.0,12.5,,,Non,0.0,0.0,0.0,1460.0,0.0,0.0
Cobalt Chrome,8.3,1350.0,0.45,13.0,12.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Cobalt Chrome MP35N,8.43,1315.0,0.5,11.2,12.8,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0
Cobalt Diboride (CoB2),7.05,1300.0,0.52,15.0,13.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Cobalt Ferrite (CoFe2O4),5.29,1575.0,0.52,3.8,11.0,,,Non,0.0,0.0,0.0,1575.0,0.0,0.0
Cobalt Oxide (CoO),6.44,1935.0,0.55,9.0,12.0,,,Non,0.0,0.0,0.0,1935.0,0.0,0.0
Cobalt Silicide,4.95,1326.0,0.52,20.0,11.5,,,Non,0.0,0.0,0.0,1326.0,0.0,0.0
Cobalt Silicide (CoSi2),4.95,1326.0,0.52,20.0,11.5,,,Non,0.0,0.0,0.0,1326.0,0.0,0.0
Cobalt Stannate (CoSnO3),6.75,1700.0,0.45,2.8,11.5,,,Non,0.0,0.0,0.0,1700.0,0.0,0.0
Cobalt Titanate (CoTiO3),5.05,1550.0,0.55,3.8,10.5,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0
Cobalt(II) Bromide,4.9,678.0,0.45,1.8,14.0,,,Non,0.0,0.0,0.0,678.0,0.0,0.0
Cobalt(II) Carbonate,4.13,,0.45,1.0,20.0,,,Non,0.0,0.0,0.0,200.0,0.0,0.0
Cobalt(II) Chloride,3.36,724.0,0.55,2.2,12.0,,,Non,0.0,0.0,0.0,724.0,0.0,0.0
Cobalt(II) Iodide,5.68,515.0,0.35,1.5,16.0,,,Non,0.0,0.0,0.0,515.0,0.0,0.0
Cobalt(II) Oxide,6.44,1933.0,0.55,9.5,12.5,,,Non,0.0,0.0,0.0,1933.0,0.0,0.0
Cobalt-Chromium (F75),8.3,1385.0,0.45,14.8,14.5,,,Non,0.0,0.0,0.0,1385.0,0.0,0.0
Coconut Oil,0.92,24.0,2.1,0.18,,285.0,,HB,16.0,700.0,2.0,270.0,40.0,400.0
Coke (Petroleum),1.2,,0.85,10.0,,,,Non,0.0,0.0,95.0,600.0,32.0,0.0
Common Red Brick,1.95,1100.0,0.88,0.7,5.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Compressed Earth Block (CEB),2.05,,0.95,1.0,9.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0
Concrete (Heavyweight),3.2,,0.75,2.1,10.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Concrete (Lightweight),1.6,,0.95,0.5,9.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Concrete (Normal Weight),2.4,,0.88,1.4,11.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Constantan,8.9,1250.0,0.39,19.5,14.9,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
Copolyester Elastomer (TPE-E),1.2,200.0,1.5,0.22,130.0,,420.0,HB,20.0,350.0,10.0,320.0,32.0,180.0
Copolyester Ether (Arnitel),1.12,200.0,2.0,0.2,180.0,335.0,370.0,HB,18.0,150.0,8.0,310.0,32.0,160.0
Copper (Beryllium),8.25,980.0,0.42,105.0,17.5,,,Non,0.0,0.0,0.0,980.0,0.0,0.0
Copper (C11000),8.94,1083.0,0.38,390.5,16.85,,,Non,0.0,0.0,0.0,1083.0,0.0,0.0
Copper (Cupronickel 70/30),8.94,1240.0,0.38,29.0,16.2,,,Non,0.0,0.0,0.0,1240.0,0.0,0.0
Copper (Oxygen Free),8.96,1083.0,0.39,390.0,16.5,,,Non,0.0,0.0,0.0,1083.0,0.0,0.0
Copper (Phosphor Bronze),8.8,1050.0,0.38,62.0,18.0,,,Non,0.0,0.0,0.0,1050.0,0.0,0.0
Copper Ferrite (CuFe2O4),5.4,1450.0,0.5,3.0,11.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Copper Flashing,8.9,1083.0,0.39,390.0,16.5,,,Non,0.0,0.0,0.0,1083.0,0.0,0.0
Copper Foam,1.5,1083.0,0.39,25.0,16.5,,,Non,0.0,0.0,0.0,1083.0,0.0,0.0
Copper Oxide (CuO),6.31,1325.0,0.55,15.0,11.0,,,Non,0.0,0.0,0.0,1325.0,0.0,0.0
Copper Silicide,7.35,859.0,0.38,45.0,18.0,,,Non,0.0,0.0,0.0,859.0,0.0,0.0
Copper Silicide (Cu3Si),7.35,859.0,0.38,45.0,18.0,,,Non,0.0,0.0,0.0,859.0,0.0,0.0
Copper Titanate (CuTiO3),5.25,1250.0,0.5,3.0,11.0,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0
Copper(I) Bromide,4.72,492.0,0.35,2.0,16.0,,,Non,0.0,0.0,0.0,492.0,0.0,0.0
Copper(I) Chloride,4.14,430.0,0.45,2.5,15.0,,,Non,0.0,0.0,0.0,430.0,0.0,0.0
Copper(I) Iodide,5.67,606.0,0.25,1.2,22.0,,,Non,0.0,0.0,0.0,606.0,0.0,0.0
Copper(I) Oxide,6.0,1235.0,0.45,4.5,4.3,,,Non,0.0,0.0,0.0,1235.0,0.0,0.0
Copper(II) Bromide,4.77,498.0,0.35,1.8,20.0,,,Non,0.0,0.0,0.0,498.0,0.0,0.0
Copper(II) Carbonate (Basic),4.0,,0.5,1.5,16.0,,,Non,0.0,0.0,0.0,200.0,0.0,0.0
Copper(II) Chloride,3.39,498.0,0.55,1.5,18.0,,,Non,0.0,0.0,0.0,498.0,0.0,0.0
Copper-Nickel (C70600),8.94,1100.0,0.38,45.0,17.1,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Copper-Nickel (C71500),8.94,1170.0,0.38,29.0,16.2,,,Non,0.0,0.0,0.0,1170.0,0.0,0.0
Cordierite,2.1,1430.0,0.95,3.0,1.5,,,Non,0.0,0.0,0.0,1430.0,0.0,0.0
Cordierite (Ceramic),2.1,1430.0,0.85,3.0,1.5,,,Non,0.0,0.0,0.0,1430.0,0.0,0.0
Cork Board (Insulation),0.15,,1.95,0.04,,,300.0,HB,24.0,60.0,30.0,220.0,22.0,75.0
Cork Tile,0.25,,1.9,0.05,,,300.0,HB,24.0,60.0,30.0,220.0,22.0,80.0
Cotton Fiber,1.55,,1.35,0.1,,210.0,400.0,HB,18.0,150.0,20.0,240.0,18.0,200.0
Cross Laminated Timber (CLT),0.52,,1.65,0.13,3.6,250.0,355.0,HB,23.0,55.0,23.0,300.0,18.2,90.0
Cross-linked Polyethylene (PEX),0.94,,2.3,0.4,150.0,,350.0,HB,18.0,400.0,5.0,300.0,43.0,200.0
Cubic Boron Nitride,3.48,2973.0,0.75,700.0,4.0,,,Non,0.0,0.0,0.0,2973.0,0.0,0.0
Cumene,0.86,-96.0,1.95,0.13,31.0,424.0,,,,2.0,,41.2,,
Cumene Hydroperoxide,1.05,-10.0,1.9,0.17,,79.0,,,,60.0,10.0,150.0,26.0,
Cunife,8.6,1080.0,0.38,30.0,13.5,,,Non,0.0,0.0,0.0,1080.0,0.0,0.0
Cupro-Nickel (90/10),8.9,1100.0,0.38,45.0,17.1,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Cupronickel (70/30),8.95,1170.0,0.38,29.0,16.2,,,Non,0.0,0.0,0.0,1170.0,0.0,0.0
Cured Phenolic (Glass Fabric),1.85,,1.05,0.5,15.0,570.0,600.0,V-0,55.0,2.0,70.0,500.0,18.0,2.0
Curium Boride (CmB4),9.05,2200.0,0.2,12.0,12.5,,,Non,0.0,0.0,0.0,2200.0,0.0,0.0
Cyanate Ester,1.2,,1.2,0.25,45.0,560.0,520.0,V-0,32.0,47.5,45.0,450.0,28.0,12.5
Cyclohexane,0.78,6.5,1.85,0.12,-20.0,245.0,,,,0.0,,43.5,,
Cyclohexanol,0.96,25.0,2.1,0.15,68.0,300.0,,,,5.0,,34.5,,
Cyclohexanone,0.95,-31.0,2.05,0.15,44.0,420.0,,,,5.0,,32.5,,
Cyclopentane,0.75,-94.0,1.85,0.12,-37.0,361.0,,,,0.0,,44.5,,
Decane,0.73,-30.0,2.2,0.14,46.0,210.0,,,,0.0,,44.2,,
Di-t-Butyl Peroxide,0.8,-40.0,2.1,0.12,,13.0,,,,20.0,0.0,111.0,32.0,
Diallyl Isophthalate (DAIP),1.8,,1.15,0.42,22.0,430.0,470.0,V-0,31.0,55.0,42.0,390.0,27.0,15.0
Diallyl Phthalate (DAP),1.75,,1.2,0.4,25.0,420.0,460.0,V-0,30.0,60.0,40.0,380.0,28.0,15.0
Diamond (Synthetic),3.52,4000.0,0.51,2000.0,1.0,,,Non,0.0,0.0,0.0,4000.0,0.0,0.0
Diamond (Type IIa),3.51,,0.51,2000.0,1.0,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0
Diamond (Type Ib),3.51,,0.51,1800.0,1.0,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0
Dichloromethane,1.33,-97.0,1.2,0.15,,556.0,,,,0.0,40.0,0.0,,
Dicumyl Peroxide,1.02,39.0,1.8,0.15,,,,,,50.0,10.0,130.0,30.0,
Diesel Fuel (No. 2),0.85,,2.1,0.12,,52.0,256.0,HB,15.0,700.0,2.0,280.0,43.0,400.0
Diethyl Ether,0.71,-116.0,2.3,0.13,-45.0,160.0,,,,0.0,,33.5,,
Diethylene Glycol,1.12,-10.0,2.3,0.25,124.0,229.0,,,,10.0,,22.0,,
Diethylene Glycol Dinitrate,1.38,2.0,1.5,0.2,,,230.0,,,100.0,5.0,220.0,7.0,
Dimethyl Ether,0.66,-141.0,2.35,0.15,-41.0,350.0,,,,0.0,,28.8,,
Dimethyl Formamide,0.94,-61.0,2.15,0.19,58.0,445.0,,,,0.0,,19.5,,
Dimethyl Sulfoxide,1.1,18.5,1.95,0.2,89.0,215.0,,,,10.0,189.0,20.5,,
Dodecane,0.75,-10.0,2.2,0.14,71.0,203.0,,,,0.0,,44.0,,
Dolomite,2.85,,0.88,2.5,9.0,,,Non,0.0,0.0,0.0,850.0,0.0,0.0
Douglas Fir (Solid),0.53,,1.65,0.13,3.5,250.0,350.0,HB,23.0,50.0,22.0,300.0,18.0,85.0
Ductile Iron,7.1,1150.0,0.46,36.0,12.0,,,Non,0.0,0.0,0.0,1150.0,0.0,0.0
Duplex SS 2205,7.8,1385.0,0.5,19.0,13.7,,,Non,0.0,0.0,0.0,1385.0,0.0,0.0
Duplex SS 2507,7.8,1350.0,0.5,14.2,13.0,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Duranickel 301,8.25,1400.0,0.44,23.5,13.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Dynamite (NG based),1.6,,1.35,0.25,,,180.0,,,1000.0,2.0,200.0,5.0,
Dysprosium (Pure),8.55,1412.0,0.17,11.0,9.9,,,Non,0.0,0.0,0.0,1412.0,0.0,0.0
Dysprosium Boride (DyB6),5.75,2050.0,0.45,35.0,7.5,,,Non,0.0,0.0,0.0,2050.0,0.0,0.0
Dysprosium Hexaboride (DyB6),5.65,2280.0,0.42,26.0,8.5,,,Non,0.0,0.0,0.0,2280.0,0.0,0.0
